,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
321,Vardo,70.3705,31.1107,43.16,74,81,12.37,NO,broken clouds
322,Mangrol,21.1167,70.1167,80.71,91,100,11.68,IN,overcast clouds
323,Bloemhof,-27.6469,25.607,65.05,19,0,7.81,ZA,clear sky
324,Madang,-5.2246,145.7966,74.77,92,63,4.27,PG,broken clouds
325,Urumqi,43.801,87.6005,58.15,55,0,2.24,CN,clear sky
326,Huarmey,-10.0681,-78.1522,68.22,74,100,11.43,PE,overcast clouds
327,Chute-Aux-Outardes,49.1168,-68.399,68.31,63,1,20.71,CA,clear sky
328,Codrington,-38.2667,141.9667,45.54,88,99,13.67,AU,overcast clouds
329,Orange Cove,36.6244,-119.3137,93.61,35,1,4.61,US,clear sky
330,Shostka,51.863,33.4698,66.25,52,92,2.71,UA,overcast clouds
331,La Spezia,44.1105,9.8434,75.65,53,6,6.46,IT,clear sky
332,San Quintin,30.4833,-115.95,80.02,66,1,12.53,MX,clear sky
333,Pauini,-7.7136,-66.9764,86.0,60,100,2.3,BR,overcast clouds
334,Souillac,-20.5167,57.5167,71.98,78,40,12.66,MU,scattered clouds
335,Tomatlan,19.9333,-105.25,90.5,58,8,6.96,MX,clear sky
336,Bilma,18.6853,12.9164,98.55,16,89,6.11,NE,overcast clouds
337,Xiongzhou,25.1167,114.3,78.46,82,3,1.45,CN,light rain
338,Ashqelon,31.6693,34.5715,78.93,60,0,8.68,IL,clear sky
339,Qena,26.1615,32.7183,84.58,30,0,18.05,EG,clear sky
340,Alice Springs,-23.7,133.8833,53.15,37,0,5.75,AU,clear sky
341,Vanavara,60.34,102.2797,46.87,64,100,2.89,RU,overcast clouds
342,Aitape,-3.1374,142.3475,76.39,87,46,5.48,PG,scattered clouds
343,Pasighat,28.0667,95.3333,78.4,72,99,3.27,IN,overcast clouds
344,Bull Savanna,17.8868,-77.5902,86.32,58,77,17.11,JM,broken clouds
345,Fairhope,30.523,-87.9033,90.12,50,1,1.99,US,clear sky
346,Fare,-16.7,-151.0167,77.02,73,31,16.73,PF,light rain
347,Matara,5.9485,80.5353,78.15,86,68,9.84,LK,broken clouds
348,Belmonte,-15.8631,-38.8828,82.4,67,0,10.22,BR,clear sky
